"_id_transferencias","class","data.add_temp","data. 
co2","data. 
error","data. 
humidity","data. 
luminosity","data.
movement","data. 
noise","data. 
room_temp","data. 
surf_temp","hub","node","time"
"636053d03736f2c2b990c580","4405","20.11","","","40.00","0.00","","","21.40","19.67","000FF001","65795","2022-11-01T00:01:36.256682"
"636053d53736f2c2b990c581","4405","20.41","","","42.70","0.00","","","21.90","19.93","000FF001","131334","2022-11-01T00:01:41.344306"
"636053ed3736f2c2b990c582","4405","20.09","","","40.30","0.00","","","21.50","19.33","000FF001","131332","2022-11-01T00:02:05.089206"
"636053f03736f2c2b990c583","4405","20.47","","","13.90","0.00","","","21.60","19.71","000FF001","131333","2022-11-01T00:02:08.666556"
"636054423736f2c2b990c584","4405","18.71","","","50.30","0.00","","","20.00","18.11","000FF001","65793","2022-11-01T00:03:30.432965"
"6360546f3736f2c2b990c585","4405","","570","","38.48","","","","25.73","","000FF001","65799","2022-11-01T00:04:15.903442"
"636054713736f2c2b990c586","4405","21.09","","","45.00","0.00","","","21.30","19.93","000FF001","65794","2022-11-01T00:04:17.440020"
"636055003736f2c2b990c587","4405","20.09","","","40.10","0.00","","","21.40","19.57","000FF001","65795","2022-11-01T00:06:40.108470"
"636055053736f2c2b990c588","4405","20.35","","","42.50","0.00","","","21.80","19.79","000FF001","131334","2022-11-01T00:06:45.388804"
"6360551c3736f2c2b990c589","4405","20.11","","","40.30","0.00","","","21.50","19.33","000FF001","131332","2022-11-01T00:07:08.936370"
